Z,c,T_K,qdot_Jm3s
0.034038,0.000000,300.0000,5.6473e+03
0.034038,0.005275,309.7375,4.2992e+02
0.034038,0.010489,319.4098,1.8856e+03
0.034038,0.015716,329.0172,4.4522e+03
0.034038,0.020951,338.5856,8.0189e+03
0.034038,0.025009,345.9630,1.1791e+04
0.034038,0.027057,349.6730,1.4102e+04
0.034038,0.032146,358.8728,2.0656e+04
0.034038,0.037387,368.3135,2.9074e+04
0.034038,0.042627,377.7230,3.9404e+04
0.034038,0.047866,387.1081,5.1452e+04
0.034038,0.050886,392.5041,5.9687e+04
0.034038,0.053972,398.0092,6.8929e+04
0.034038,0.059054,407.0525,8.6546e+04
0.034038,0.064287,416.3397,1.0777e+05
0.034038,0.069518,425.5983,1.3256e+05
0.034038,0.074746,434.8282,1.6144e+05
0.034038,0.076901,438.6283,1.7413e+05
0.034038,0.080697,445.3045,1.9990e+05
0.034038,0.085910,454.4548,2.3941e+05
0.034038,0.091131,463.5956,2.8496e+05
0.034038,0.096350,472.7096,3.3699e+05
0.034038,0.100924,480.6816,3.8778e+05
0.034038,0.103416,485.0114,4.2032e+05
0.034038,0.107493,492.0915,4.7433e+05
0.034038,0.112705,501.1143,5.5564e+05
0.034038,0.117914,510.1129,6.4685e+05
0.034038,0.123122,519.0898,7.4711e+05
0.034038,0.127171,526.0492,8.3812e+05
0.034038,0.129784,530.5303,9.0287e+05
0.034038,0.134241,538.1646,1.0215e+06
0.034038,0.139442,547.0500,1.1765e+06
0.034038,0.144641,555.9054,1.3538e+06
0.034038,0.149837,564.7329,1.5543e+06
0.034038,0.153517,570.9716,1.7098e+06
0.034038,0.155986,575.1473,1.8239e+06
0.034038,0.160933,583.5035,2.0693e+06
0.034038,0.166123,592.2459,2.3564e+06
0.034038,0.171311,600.9610,2.6767e+06
0.034038,0.176374,609.4431,3.0243e+06
0.034038,0.179721,615.0378,3.2758e+06
0.034038,0.182388,619.4919,3.4825e+06
0.034038,0.187569,628.1218,3.9241e+06
0.034038,0.192748,636.7246,4.4098e+06
0.034038,0.197925,645.3008,4.9421e+06
0.034038,0.202864,653.4623,5.4963e+06
0.034038,0.205660,658.0740,5.8287e+06
0.034038,0.208978,663.5364,6.2429e+06
0.034038,0.214147,672.0290,6.9351e+06
0.034038,0.219314,680.4957,7.6818e+06
0.034038,0.224479,688.9366,8.4842e+06
0.034038,0.229417,696.9866,9.3040e+06
0.034038,0.231468,700.3223,9.6638e+06
0.034038,0.235507,706.8851,1.0394e+07
0.034038,0.240664,715.2460,1.1380e+07
0.034038,0.245818,723.5782,1.2437e+07
