Z,c,T_K,qdot_Jm3s
0.034038,0.000000,300.0000,-3.2194e+01
0.034038,0.002877,305.2626,1.3473e+02
0.034038,0.005624,310.4319,5.5488e+02
0.034038,0.008325,315.4740,1.2626e+03
0.034038,0.010993,320.4209,2.2802e+03
0.034038,0.012120,322.5020,2.7919e+03
0.034038,0.014014,325.9932,3.7721e+03
0.034038,0.016618,330.7754,5.3971e+03
0.034038,0.019213,335.5268,7.3303e+03
0.034038,0.021792,340.2328,9.6166e+03
0.034038,0.023858,343.9979,1.1648e+04
0.034038,0.025017,346.1040,1.2921e+04
0.034038,0.027259,350.1809,1.5407e+04
0.034038,0.029793,354.7749,1.8710e+04
0.034038,0.032315,359.3380,2.2370e+04
0.034038,0.034826,363.8735,2.6399e+04
0.034038,0.036369,366.6558,2.9149e+04
0.034038,0.037805,369.2446,3.1753e+04
0.034038,0.040164,373.4902,3.6467e+04
0.034038,0.042644,377.9469,4.1899e+04
0.034038,0.045115,382.3818,4.7747e+04
0.034038,0.047553,386.7513,5.3931e+04
0.034038,0.048816,389.0114,5.7509e+04
0.034038,0.050376,391.8016,6.1993e+04
0.034038,0.052824,396.1749,6.9521e+04
0.034038,0.055264,400.5309,7.7503e+04
0.034038,0.057697,404.8665,8.6387e+04
0.034038,0.059955,408.8865,9.4822e+04
0.034038,0.061219,411.1345,1.0015e+05
0.034038,0.062883,414.0909,1.0729e+05
0.034038,0.065298,418.3801,1.1796e+05
0.034038,0.067708,422.6512,1.2988e+05
0.034038,0.070112,426.9114,1.4194e+05
0.034038,0.072273,430.7341,1.5390e+05
0.034038,0.073521,432.9395,1.6128e+05
0.034038,0.075239,435.9750,1.7160e+05
0.034038,0.077629,440.1906,1.8700e+05
0.034038,0.080014,444.3932,2.0350e+05
0.034038,0.082395,448.5829,2.2105e+05
0.034038,0.084517,452.3145,2.3761e+05
0.034038,0.085749,454.4785,2.4771e+05
0.034038,0.087475,457.5072,2.6238e+05
0.034038,0.089844,461.6614,2.8348e+05
0.034038,0.092210,465.8029,3.0639e+05
0.034038,0.094572,469.9336,3.3060e+05
0.034038,0.096696,473.6445,3.5338e+05
0.034038,0.097927,475.7923,3.6757e+05
0.034038,0.099615,478.7376,3.8702e+05
0.034038,0.101968,482.8355,4.1657e+05
0.034038,0.104318,486.9246,4.4755e+05
0.034038,0.106666,491.0052,4.7995e+05
0.034038,0.108816,494.7362,5.1242e+05
0.034038,0.110071,496.9137,5.3143e+05
0.034038,0.111679,499.7000,5.5774e+05
0.034038,0.114019,503.7520,5.9669e+05
0.034038,0.116357,507.7927,6.3937e+05
0.034038,0.118692,511.8267,6.8358e+05
0.034038,0.120883,515.6045,7.2786e+05
0.034038,0.122194,517.8645,7.5502e+05
0.034038,0.123682,520.4272,7.8828e+05
0.034038,0.126012,524.4367,8.4056e+05
0.034038,0.128340,528.4352,8.9810e+05
0.034038,0.130667,532.4285,9.5729e+05
0.034038,0.132902,536.2599,1.0185e+06
0.034038,0.134306,538.6649,1.0571e+06
0.034038,0.135638,540.9440,1.0976e+06
0.034038,0.137960,544.9144,1.1681e+06
0.034038,0.140281,548.8759,1.2443e+06
0.034038,0.142600,552.8331,1.3225e+06
0.034038,0.144880,556.7168,1.4048e+06
0.034038,0.146415,559.3287,1.4632e+06
0.034038,0.147559,561.2742,1.5074e+06
0.034038,0.149875,565.2093,1.6017e+06
0.034038,0.152191,569.1382,1.7011e+06
0.034038,0.154505,573.0610,1.8057e+06
0.034038,0.156819,576.9776,1.9159e+06
0.034038,0.158519,579.8518,2.0012e+06
0.034038,0.159468,581.4555,2.0494e+06
0.034038,0.161767,585.3372,2.1714e+06
0.034038,0.164079,589.2360,2.3004e+06
0.034038,0.166391,593.1291,2.4361e+06
0.034038,0.168703,597.0168,2.5786e+06
0.034038,0.170529,600.0856,2.6964e+06
0.034038,0.171493,601.7037,2.7592e+06
0.034038,0.173647,605.3172,2.9067e+06
0.034038,0.175958,609.1892,3.0718e+06
0.034038,0.178268,613.0564,3.2445e+06
0.034038,0.180579,616.9190,3.4250e+06
0.034038,0.182521,620.1610,3.5825e+06
0.034038,0.183530,621.8446,3.6673e+06
0.034038,0.185524,625.1680,3.8387e+06
0.034038,0.187835,629.0172,4.0451e+06
0.034038,0.190147,632.8625,4.2601e+06
0.034038,0.192459,636.7033,4.4852e+06
0.034038,0.194501,640.0913,4.6923e+06
0.034038,0.195585,641.8882,4.8033e+06
