species,cantera_interior_inf,ours_interior_inf
H2O,0.7454003435368451,0.7454003435388995
CH4,0.6017225966180644,0.601722596618183
O2,0.3763821375660784,0.3763821375671846
CH3,0.3614371406666973,0.36143714066667754
OH,0.3123087210155558,0.3123087210156101
HCO,0.22355679631099,0.22355679631098876
O,0.1492680022994216,0.1492680022993969
CO,0.1193025949703074,0.1193025949703074
CO2,0.08168831691781282,0.08168831691575848
C2H6,0.07422703936444433,0.07422703936444557
HO2,0.06614682174133935,0.0661468217413375
CH2(S),0.05978313969409741,0.05978313969409732
CH2O,0.05710404381956133,0.05710404381956874
C2H5,0.0378060760798357,0.03780607607984854
C2H4,0.03689744233233348,0.036897442332335946
C2H3,0.029780182311789433,0.02978018231178924
CH2OH,0.027879527326616388,0.027879527326616034
CH3OH,0.021443196977569304,0.021443196977568996
H2,0.02078689291409497,0.020786892914133243
N2,0.012693309038468426,0.012693309045806633
HCCO,0.012119160099815117,0.012119160099814846
CH2,0.011738496024876314,0.011738496024876314
CH,0.011651370572505626,0.011651370572474088
H2O2,0.010945793286120857,0.010945793286120583
CH3O,0.009869010781541246,0.009869010781541189
H,0.008701484996496929,0.008701484996406416
CH2CHO,0.0080855227428637,0.008085522742887933
C2H2,0.006555687283334488,0.006555687283331093
CH2CO,0.0041476077682238415,0.004147607768225693
CH3CHO,0.0029489268620364532,0.0029489268620363053
C,0.002742775399227838,0.0027427753992278576
C3H8,0.0022829540680014905,0.0022829540680012147
C3H7,0.001873024981501846,0.0018730249815027736
C2H,0.0012114342501080427,0.0012114342501080393
HCCOH,0.00034839763343197416,0.00034839763343196207
NNH,8.069566341134265e-05,8.06956634113429e-05
HCNN,2.66730106001653e-05,2.6673010600165077e-05
N,2.2916747228809883e-05,2.291674722880747e-05
NO,2.0335010283272424e-05,2.033501028425619e-05
HCN,1.5438683647791864e-05,1.543868364785155e-05
H2CN,1.5224004404082242e-05,1.5224004404082242e-05
NCO,1.393500349628128e-05,1.3935003496253928e-05
NO2,1.3420002760858396e-05,1.3420002760855015e-05
HNCO,1.1435586492222272e-05,1.1435586492170625e-05
CN,7.527592825383609e-06,7.527592825383609e-06
HCNO,2.920041537883024e-06,2.9200415378787207e-06
NH2,1.7451115583856298e-06,1.7451115583857803e-06
HNO,1.5093845785830683e-06,1.5093845785830683e-06
HOCN,1.3585893519168448e-06,1.3585893519168763e-06
NH3,1.1692141059104486e-06,1.1692141059104486e-06
NH,1.0381238917545941e-06,1.0381238917473766e-06
N2O,9.148004978083259e-07,9.148004978035787e-07
AR,2.945012416848274e-48,2.945012416848274e-48
