species,cantera_interior_inf,ours_interior_inf
C2H2,0.006555687283334488,307797.08963535976
CH2,0.011738496024876314,165813.4819173478
H,0.008701484996496929,23829.96328183774
N2,0.012693309038468426,0.8890300695136347
H2O,0.7454003435368451,0.867100983235374
O2,0.3763821375660784,0.7075873143824682
CH4,0.6017225966180644,0.6456664625465758
CH3,0.3614371406666973,0.3666949775820782
OH,0.3123087210155558,0.24748051613429276
CO,0.1193025949703074,0.2708618158949588
HCO,0.22355679631099,0.2362625289068417
O,0.1492680022994216,0.10192794132185296
CO2,0.08168831691781282,0.12464737217155859
C2H6,0.07422703936444433,0.07307462099368048
HO2,0.06614682174133935,0.06994656699863881
CH2O,0.05710404381956133,0.0645351715028676
CH2(S),0.05978313969409741,0.06153890446399841
C2H5,0.0378060760798357,0.03655882201974213
C2H4,0.03689744233233348,0.033130478155732744
C2H3,0.029780182311789433,0.030316064371662534
CH2OH,0.027879527326616388,0.02798963569985118
H2,0.02078689291409497,0.022387622035635303
CH3OH,0.021443196977569304,0.02116835076260802
CH,0.011651370572505626,0.012909866859425056
HCCO,0.012119160099815117,0.011418878506530773
H2O2,0.010945793286120857,0.011030220449986807
CH3O,0.009869010781541246,0.009169702343084596
CH2CHO,0.0080855227428637,0.008227196683588024
CH2CO,0.0041476077682238415,0.006611662544812373
CH3CHO,0.0029489268620364532,0.0028705049669783323
C,0.002742775399227838,0.0021592164359165496
C3H8,0.0022829540680014905,0.0020762243732233075
C3H7,0.001873024981501846,0.001934502403338387
C2H,0.0012114342501080427,0.0012092367267386673
HCCOH,0.00034839763343197416,0.00030741181558486717
NNH,8.069566341134265e-05,0.00031045623480414566
NO,2.0335010283272424e-05,6.095114505313114e-05
HCN,1.5438683647791864e-05,2.9516229065242286e-05
HCNN,2.66730106001653e-05,2.569053285773558e-05
N,2.2916747228809883e-05,1.971437992019564e-05
H2CN,1.5224004404082242e-05,1.5346634377514835e-05
NO2,1.3420002760858396e-05,1.4552092084624703e-05
NCO,1.393500349628128e-05,8.096535117898284e-06
HNCO,1.1435586492222272e-05,1.1711105918951978e-05
CN,7.527592825383609e-06,7.009231138489061e-06
NH3,1.1692141059104486e-06,5.2171515453802006e-06
HCNO,2.920041537883024e-06,3.1419953202101024e-06
NH2,1.7451115583856298e-06,2.549407295088889e-06
NH,1.0381238917545941e-06,2.5189403319130782e-06
HNO,1.5093845785830683e-06,1.9364816367823483e-06
HOCN,1.3585893519168448e-06,6.976835886138658e-07
N2O,9.148004978083259e-07,1.3456832816024356e-06
AR,2.945012416848274e-48,2.9450093060601686e-48
